Name,price,calorie,protain,shishitu,tansui,solt,calcium,vegitable,red,green,yellow,isDessert,isDrink,egg,milk,peanut,soba,wheat,shirimp,crab,abalone,squid,salmon_roe,salmon,mackerel,beaf,chicken,pork,soybean,matsutake,yam,orange,kiwi,peach,apple,walnut,gelatin,banana,seafood,sesame
天津麻婆丼,490,1167,44.4,53.3,117.6,7.5,232.8,25,5.4,0.1,9.1,FALSE,FALSE,1,1,,,1,,,,,,,,1,1,1,1,,,,,,,,1,,,1
天津カレー,490,1202.1,32.6,65.3,112.6,3.7,136.6,9,3.5,0.2,11.3,FALSE,FALSE,1,,,,1,,,,,,,,,1,1,1,,,,,,1,,,,,
麻婆丼,410,665.3,21,11.6,114.1,6,136.7,25,1.9,0.1,6.3,FALSE,FALSE,1,,,,1,,,,,,,,1,1,1,1,,,,,,,,1,,,1
天津中華丼,490,1148.6,34.2,60.2,109.8,4.5,140.5,55,4.1,0.3,10,FALSE,FALSE,1,1,,,1,,,,,,,,1,1,1,1,,,,,,,,1,,,1
中華丼,410,615.3,11.7,12.3,112.2,3.7,62.1,105,0.5,0.5,6.7,FALSE,FALSE,,1,,,1,,,,,,,,1,1,1,1,,,,,,,,1,,,1
天津カレーS,330,664.7,20.4,35.9,60.1,2,84.4,4,2.3,0.1,5.9,FALSE,FALSE,1,,,,1,,,,,,,,,1,1,1,,,,,,1,,,,,
天津中華丼S,330,582,22,26.5,58.6,2,81.3,28,2.6,0.2,4.5,FALSE,FALSE,1,1,,,1,,,,,,,,1,1,1,1,,,,,,,,1,,,1
ライスL,144,561,9.9,0,122.1,0,0,0,0,0,7,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
ライスM,113,408,7.2,0,88.8,0,0,0,0,0,5.1,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
ライスS,92,272,4.8,0,59.2,0,0,0,0,0,3.4,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
ライスSS,72,170,3,0,37,0,0,0,0,0,2.1,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
豚汁,108,100,6,3.8,11.2,1.7,33,54,0.5,0.4,0.4,FALSE,FALSE,,,,,,,,,,,,,,,1,1,,,,,,,,,,,
味噌汁,32,41.3,2.3,2.1,3.8,1.4,31.5,0,0.2,0,0.3,FALSE,FALSE,,,,,,,,,,,,,,,,1,,,,,,,,,,,
塩ダレ豚,302,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
ニラもやし炒め,259,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
和風ハンバーグ,259,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
鶏と野菜の田舎煮,172,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
鶏の唐揚げ,259,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
白身魚フライ,216,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
鶏からおろしポン酢,302,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
和風ハンバーグ,172,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
ササミチーズカツ,259,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
ブリ照り煮,172,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
あさりのクリームコロッケ,108,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
ロースカツカレー,390,866.8,20.4,30.5,123.7,3.7,45.3,1.3,1.4,0.2,9.3,FALSE,FALSE,1,1,,,1,,,,,,,,,1,1,1,,,,,,1,,,,,1
カレーライス,280,560,10.9,7.2,108.9,2.4,38,14,0,0.2,6.8,FALSE,FALSE,,,,,1,,,,,,,,,1,1,1,,,,,,1,,,,,1
ベジタリアンカレー,350,527.4,8.3,2.5,114.2,2.5,45.3,46,0,0.3,6.3,FALSE,FALSE,,,,,1,,,,,,,,,,,1,,,,,,1,,,,,1
唐揚げカレー,378,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
